Wall time,Step,Value
1616936784.604906,10905,1.799243182176724e-05
1616936793.669682,10939,1.797954428184312e-05
1616936794.74214,10943,1.7957854652195238e-05
1616936802.112652,10966,1.7968974134419113e-05
1616936803.704561,10972,1.7985888916882686e-05
1616936804.236101,10974,1.7972786736208946e-05
1616936814.888457,11014,1.795063872123137e-05
1616936816.504087,11020,1.7989103071158752e-05
1616936817.041177,11022,1.798583980416879e-05
1616936820.010858,11033,1.7958023818209767e-05
1616936821.361539,11038,1.796696233213879e-05
1616936825.096438,11052,1.7979982658289373e-05
1616936827.516744,11061,1.8004806406679563e-05
1616936831.81607,11077,1.7970594853977673e-05
1616936838.572131,11102,1.794945819710847e-05
1616936843.73943,11121,1.7969794498640113e-05
1616936846.194081,11130,1.7962571291718632e-05
1616936851.076102,11148,1.796012838894967e-05
1616936858.310954,11175,1.7953067072085105e-05
1616936864.440877,11198,1.7958123862626962e-05
1616936864.974547,11200,1.7954713257495314e-05
1616936865.244663,11201,1.797167533368338e-05
1616936880.862916,11260,1.796073956938926e-05
1616936881.666492,11263,1.7962027413886972e-05
1616936884.09248,11272,1.796977267076727e-05
1616936894.763227,11310,1.7957892850972712e-05
1616936908.374573,11361,1.7970591215998866e-05
1616936922.266891,11411,1.7964041035156697e-05
1616936924.437586,11419,1.7946496882359497e-05
1616936934.695083,11455,1.7971276975004002e-05
1616936939.485465,11472,1.7975162336369976e-05
1616936944.920812,11492,1.796912692952901e-05
1616936953.215835,11520,1.795289063011296e-05
1616936954.043693,11523,1.796887954697013e-05
1616936955.996708,11530,1.796442666091025e-05
1616936956.546578,11532,1.7948023014469072e-05
1616936961.328304,11549,1.7967111489269882e-05
1616936963.575094,11557,1.797436925699003e-05
1616936966.50502,11566,1.794671879906673e-05
1616936970.499722,11581,1.794402487576008e-05
1616936974.794382,11597,1.794838681234978e-05
1616936986.479412,11636,1.7946096704690717e-05
1616936989.688875,11648,1.795248499547597e-05
1616936992.938424,11660,1.7942988051800057e-05
1616936995.892467,11671,1.7965332517633215e-05
1616936999.606555,11685,1.7944314095075242e-05
1616937000.146888,11687,1.7980732081923634e-05
1616937009.74074,11723,1.7948541426449083e-05
1616937020.608717,11759,1.7973397916648537e-05
1616937027.836762,11786,1.7936639778781682e-05
1616937031.817838,11801,1.7942977137863636e-05
1616937039.747378,11831,1.795780008251313e-05
1616937046.088272,11855,1.7946695152204484e-05
1616937050.896053,11873,1.7951169866137207e-05
1616937060.658408,11906,1.7945558283827268e-05
1616937069.207822,11933,1.7945654690265656e-05
1616937072.938183,11946,1.7967369785765186e-05
1616937073.478722,11948,1.7951180780073628e-05
1616937073.763269,11949,1.795950811356306e-05
1616937079.332071,11969,1.7954364011529833e-05
